feature_name,feature_type,is_amr_gene,is_grouped,selected
gene_aac(3)-II,gene,True,False,True
gene_aac(3)-IId,gene,True,False,True
gene_aac(3)-IIe,gene,True,False,True
gene_aac(3)-IIg,gene,True,False,True
gene_aac(3)-IVa,gene,True,False,True
gene_aac(3)-Ib,gene,True,False,True
gene_aac(3)-VIa,gene,True,False,True
gene_aac(6')-33,gene,True,False,True
gene_aac(6')-E606,gene,True,False,True
gene_aac(6')-Ib,gene,True,False,True
gene_aac(6')-Ib',gene,True,False,True
gene_aac(6')-Ib-cr,gene,True,False,True
gene_aac(6')-Ib-cr5,gene,True,False,True
gene_aac(6')-Ib3,gene,True,False,True
gene_aac(6')-Ib4,gene,True,False,True
gene_aac(6')-Il,gene,True,False,True
gene_aacA43,gene,True,False,True
gene_aadA1,gene,True,False,True
gene_aadA10,gene,True,False,True
gene_aadA13,gene,True,False,True
gene_aadA16,gene,True,False,True
gene_aadA2,gene,True,False,True
gene_aadA5,gene,True,False,True
gene_acrR_M109I,gene,True,False,True
gene_acrR_V165I,gene,True,False,True
gene_acrR_Y114F,gene,True,False,True
gene_ampC-Kaer,gene,True,False,True
gene_ampC_Kaer-1,gene,True,False,True
gene_ant(2'')-Ia,gene,True,False,True
gene_ant(6)-Ia,gene,True,False,True
gene_aph(3'')-Ib,gene,True,False,True
gene_aph(3')-Ia,gene,True,False,True
gene_aph(3')-VI,gene,True,False,True
gene_aph(3')-VIb,gene,True,False,True
gene_aph(4)-Ia,gene,True,False,True
gene_aph(6)-Id,gene,True,False,True
gene_aphA16,gene,True,False,True
gene_armA,gene,True,False,True
gene_arr,gene,True,False,True
gene_arr-2,gene,True,False,True
gene_arr-3,gene,True,False,True
gene_arr-4,gene,True,False,True
gene_arsA,gene,True,False,True
gene_arsB,gene,True,False,True
gene_arsC,gene,True,False,True
gene_arsD,gene,True,False,True
gene_arsR,gene,True,False,True
gene_asr,gene,True,False,True
gene_blaCARB-2,gene,True,False,True
gene_blaCMY-16,gene,True,False,True
gene_blaCMY-2,gene,True,False,True
gene_blaCMY-4,gene,True,False,True
gene_blaCTX-M,gene,True,False,True
gene_blaCTX-M-14,gene,True,False,True
gene_blaCTX-M-15,gene,True,False,True
gene_blaCTX-M-220,gene,True,False,True
gene_blaCTX-M-3,gene,True,False,True
gene_blaCTX-M-65,gene,True,False,True
gene_blaDHA-1,gene,True,False,True
gene_blaDHA-6,gene,True,False,True
gene_blaEC,gene,True,False,True
gene_blaFOX-5,gene,True,False,True
gene_blaIMP-18,gene,True,False,True
gene_blaKPC,gene,True,False,True
gene_blaKPC-2,gene,True,False,True
gene_blaKPC-3,gene,True,False,True
gene_blaKPC-4,gene,True,False,True
gene_blaKPC-45,gene,True,False,True
gene_blaLAP-2,gene,True,False,True
gene_blaLEN-13,gene,True,False,True
gene_blaLEN-17,gene,True,False,True
gene_blaLEN-2,gene,True,False,True
gene_blaLEN-9,gene,True,False,True
gene_blaNDM,gene,True,False,True
gene_blaNDM-1,gene,True,False,True
gene_blaNDM-5,gene,True,False,True
gene_blaNDM-50,gene,True,False,True
gene_blaNDM-7,gene,True,False,True
gene_blaOKP-B-23,gene,True,False,True
gene_blaOKP-B-5,gene,True,False,True
gene_blaOKP-B-6,gene,True,False,True
gene_blaOKP-B-79,gene,True,False,True
gene_blaOXA,gene,True,False,True
gene_blaOXA-1,gene,True,False,True
gene_blaOXA-10,gene,True,False,True
gene_blaOXA-163,gene,True,False,True
gene_blaOXA-181,gene,True,False,True
gene_blaOXA-2,gene,True,False,True
gene_blaOXA-204,gene,True,False,True
gene_blaOXA-232,gene,True,False,True
gene_blaOXA-48,gene,True,False,True
gene_blaOXA-9,gene,True,False,True
gene_blaOXY-5-9,gene,True,False,True
gene_blaSCO-1,gene,True,False,True
gene_blaSHV,gene,True,False,True
gene_blaSHV-1,gene,True,False,True
gene_blaSHV-11,gene,True,False,True
gene_blaSHV-12,gene,True,False,True
gene_blaSHV-133,gene,True,False,True
gene_blaSHV-168,gene,True,False,True
gene_blaSHV-187,gene,True,False,True
gene_blaSHV-2,gene,True,False,True
gene_blaSHV-205,gene,True,False,True
gene_blaSHV-217,gene,True,False,True
gene_blaSHV-254,gene,True,False,True
gene_blaSHV-26,gene,True,False,True
gene_blaSHV-27,gene,True,False,True
gene_blaSHV-28,gene,True,False,True
gene_blaSHV-30,gene,True,False,True
gene_blaSHV-31,gene,True,False,True
gene_blaSHV-33,gene,True,False,True
gene_blaSHV-36,gene,True,False,True
gene_blaSHV-42,gene,True,False,True
gene_blaSHV-5,gene,True,False,True
gene_blaSHV-52,gene,True,False,True
gene_blaSHV-63,gene,True,False,True
gene_blaSHV-7,gene,True,False,True
gene_blaSHV-71,gene,True,False,True
gene_blaSHV-76,gene,True,False,True
gene_blaSHV-77,gene,True,False,True
gene_blaSHV-80,gene,True,False,True
gene_blaSHV_C-112A,gene,True,False,True
gene_blaTEM,gene,True,False,True
gene_blaTEM-1,gene,True,False,True
gene_blaTEM-206,gene,True,False,True
gene_blaVIM-1,gene,True,False,True
gene_blaVIM-2,gene,True,False,True
gene_blaVIM-4,gene,True,False,True
gene_ble,gene,True,False,True
gene_cadD,gene,True,False,True
gene_catA1,gene,True,False,True
gene_catA2,gene,True,False,True
gene_catB,gene,True,False,True
gene_catB11,gene,True,False,True
gene_catB3,gene,True,False,True
gene_clbB,gene,True,False,True
gene_clbN,gene,True,False,True
gene_clpK,gene,True,False,True
gene_cmlA,gene,True,False,True
gene_cmlA1,gene,True,False,True
gene_cmlA4,gene,True,False,True
gene_cmlA5,gene,True,False,True
gene_crcB,gene,True,False,True
gene_crrB_L94M,gene,True,False,True
gene_dfrA1,gene,True,False,True
gene_dfrA12,gene,True,False,True
gene_dfrA14,gene,True,False,True
gene_dfrA15,gene,True,False,True
gene_dfrA17,gene,True,False,True
gene_dfrA18,gene,True,False,True
gene_dfrA19,gene,True,False,True
gene_dfrA21,gene,True,False,True
gene_dfrA26,gene,True,False,True
gene_dfrA27,gene,True,False,True
gene_dfrA30,gene,True,False,True
gene_dfrA33,gene,True,False,True
gene_dfrA5,gene,True,False,True
gene_dfrA50,gene,True,False,True
gene_dfrA51,gene,True,False,True
gene_dfrA7,gene,True,False,True
gene_dfrA8,gene,True,False,True
gene_dfrB3,gene,True,False,True
gene_emrD,gene,True,False,True
gene_emrE,gene,True,False,True
gene_ere(A),gene,True,False,True
gene_ere(B),gene,True,False,True
gene_erm(42),gene,True,False,True
gene_erm(B),gene,True,False,True
gene_floR,gene,True,False,True
gene_floR2,gene,True,False,True
gene_fosA,gene,True,False,True
gene_fosA10,gene,True,False,True
gene_fosA3,gene,True,False,True
gene_fosA5,gene,True,False,True
gene_fosA7,gene,True,False,True
gene_ftsI_L367Q,gene,True,False,True
gene_gyrA_D87A,gene,True,False,True
gene_gyrA_D87G,gene,True,False,True
gene_gyrA_D87N,gene,True,False,True
gene_gyrA_D87Y,gene,True,False,True
gene_gyrA_S83F,gene,True,False,True
gene_gyrA_S83I,gene,True,False,True
gene_gyrA_S83T,gene,True,False,True
gene_gyrA_S83Y,gene,True,False,True
gene_hdeD-GI,gene,True,False,True
gene_hsp20,gene,True,False,True
gene_iroB,gene,True,False,True
gene_iroC,gene,True,False,True
gene_iroD,gene,True,False,True
gene_iroE,gene,True,False,True
gene_iroN,gene,True,False,True
gene_iss,gene,True,False,True
gene_iucA,gene,True,False,True
gene_iucB,gene,True,False,True
gene_iucC,gene,True,False,True
gene_iucD,gene,True,False,True
gene_iutA,gene,True,False,True
gene_kefB-GI,gene,True,False,True
gene_lpfA-O113,gene,True,False,True
gene_mchF,gene,True,False,True
gene_mcr-9.1,gene,True,False,True
gene_merA,gene,True,False,True
gene_merB,gene,True,False,True
gene_merC,gene,True,False,True
gene_merD,gene,True,False,True
gene_merE,gene,True,False,True
gene_merF,gene,True,False,True
gene_merP,gene,True,False,True
gene_merR,gene,True,False,True
gene_merT,gene,True,False,True
gene_mgrB_Q30STOP,gene,True,False,True
gene_mph(A),gene,True,False,True
gene_mph(C),gene,True,False,True
gene_mph(E),gene,True,False,True
gene_msr(E),gene,True,False,True
gene_ncrA,gene,True,False,True
gene_ncrB,gene,True,False,True
gene_ncrC,gene,True,False,True
gene_ncrY,gene,True,False,True
gene_nirB,gene,True,False,True
gene_ompK35_E132K,gene,True,False,True
gene_ompK36_D135DD,gene,True,False,True
gene_ompK36_D135DGD,gene,True,False,True
gene_ompK36_G133D,gene,True,False,True
gene_ompK36_Q313STOP,gene,True,False,True
gene_ompK36_Q70STOP,gene,True,False,True
gene_ompK36_T136TDT,gene,True,False,True
gene_ompK36_W125STOP,gene,True,False,True
gene_oqxA,gene,True,False,True
gene_oqxA10,gene,True,False,True
gene_oqxA11,gene,True,False,True
gene_oqxA3,gene,True,False,True
gene_oqxB,gene,True,False,True
gene_oqxB14,gene,True,False,True
gene_oqxB15,gene,True,False,True
gene_oqxB16,gene,True,False,True
gene_oqxB19,gene,True,False,True
gene_oqxB20,gene,True,False,True
gene_oqxB25,gene,True,False,True
gene_oqxB32,gene,True,False,True
gene_oqxB5,gene,True,False,True
gene_oqxR_D95E,gene,True,False,True
gene_oqxR_V113I,gene,True,False,True
gene_papE,gene,True,False,True
gene_parC_E84K,gene,True,False,True
gene_parC_S80I,gene,True,False,True
gene_pcoA,gene,True,False,True
gene_pcoB,gene,True,False,True
gene_pcoC,gene,True,False,True
gene_pcoD,gene,True,False,True
gene_pcoE,gene,True,False,True
gene_pcoR,gene,True,False,True
gene_pcoS,gene,True,False,True
gene_peg-344,gene,True,False,True
gene_pmrA_G53S,gene,True,False,True
gene_pmrA_S42N,gene,True,False,True
gene_pmrB_T157P,gene,True,False,True
gene_psi-GI,gene,True,False,True
gene_qacE,gene,True,False,True
gene_qacEdelta1,gene,True,False,True
gene_qacF,gene,True,False,True
gene_qacL,gene,True,False,True
gene_qnrA,gene,True,False,True
gene_qnrA1,gene,True,False,True
gene_qnrA6,gene,True,False,True
gene_qnrB,gene,True,False,True
gene_qnrB1,gene,True,False,True
gene_qnrB10,gene,True,False,True
gene_qnrB19,gene,True,False,True
gene_qnrB2,gene,True,False,True
gene_qnrB4,gene,True,False,True
gene_qnrB6,gene,True,False,True
gene_qnrB9,gene,True,False,True
gene_qnrB91,gene,True,False,True
gene_qnrE1,gene,True,False,True
gene_qnrS,gene,True,False,True
gene_qnrS1,gene,True,False,True
gene_qnrVC1,gene,True,False,True
gene_ramR_A19V,gene,True,False,True
gene_rmpA,gene,True,False,True
gene_rmpA2,gene,True,False,True
gene_rmpC,gene,True,False,True
gene_rmpD,gene,True,False,True
gene_rmtB1,gene,True,False,True
gene_rmtF,gene,True,False,True
gene_rmtF1,gene,True,False,True
gene_rpsJ_V57L,gene,True,False,True
gene_sak,gene,True,False,True
gene_sat2,gene,True,False,True
gene_sat4,gene,True,False,True
gene_senB,gene,True,False,True
gene_seq,gene,True,False,True
gene_shsP,gene,True,False,True
gene_silA,gene,True,False,True
gene_silB,gene,True,False,True
gene_silC,gene,True,False,True
gene_silE,gene,True,False,True
gene_silF,gene,True,False,True
gene_silP,gene,True,False,True
gene_silR,gene,True,False,True
gene_silS,gene,True,False,True
gene_smr,gene,True,False,True
gene_sul1,gene,True,False,True
gene_sul2,gene,True,False,True
gene_sul3,gene,True,False,True
gene_terB,gene,True,False,True
gene_terC,gene,True,False,True
gene_terD,gene,True,False,True
gene_terE,gene,True,False,True
gene_terW,gene,True,False,True
gene_terZ,gene,True,False,True
gene_tet(A),gene,True,False,True
gene_tet(B),gene,True,False,True
gene_tet(D),gene,True,False,True
gene_tet(G),gene,True,False,True
gene_trxLHR,gene,True,False,True
gene_ybtP,gene,True,False,True
gene_ybtQ,gene,True,False,True
gene_yfdX1,gene,True,False,True
gene_yfdX2,gene,True,False,True
